onset	duration	trial_type	response_time	sample	value
0.0566640625	0.0000000000	STATUS	n/a	14.5060000000	Picture
0.4735625000	0.0000000000	STATUS	n/a	121.2320000000	Picture
0.8954609375	0.0000000000	STATUS	n/a	229.2380000000	Picture
1.7453632812	0.0000000000	STATUS	n/a	446.8130000000	Picture
2.1483632812	0.0000000000	STATUS	n/a	549.9810000000	Picture
2.5040625000	0.0000000000	STATUS	n/a	641.0400000000	Response
3.2701640625	0.0000000000	STATUS	n/a	837.1620000000	Picture
3.7340625000	0.0000000000	STATUS	n/a	955.9200000000	Picture
4.6049609375	0.0000000000	STATUS	n/a	1178.8700000000	Picture
4.9756640625	0.0000000000	STATUS	n/a	1273.7700000000	Response
5.4578632812	0.0000000000	STATUS	n/a	1397.2130000000	Picture
5.9367617187	0.0000000000	STATUS	n/a	1519.8110000000	Picture
6.8895625000	0.0000000000	STATUS	n/a	1763.7280000000	Picture
7.7624609375	0.0000000000	STATUS	n/a	1987.1900000000	Picture
8.6193632812	0.0000000000	STATUS	n/a	2206.5570000000	Picture
9.1232617187	0.0000000000	STATUS	n/a	2335.5550000000	Picture
9.5269609375	0.0000000000	STATUS	n/a	2438.9020000000	Response
10.0731640625	0.0000000000	STATUS	n/a	2578.7300000000	Picture
10.7220625000	0.0000000000	STATUS	n/a	2744.8480000000	Picture
11.3509609375	0.0000000000	STATUS	n/a	2905.8460000000	Picture
12.1397617187	0.0000000000	STATUS	n/a	3107.7790000000	Picture
13.1726640625	0.0000000000	STATUS	n/a	3372.2020000000	Picture
14.0055625000	0.0000000000	STATUS	n/a	3585.4240000000	Picture
14.3981640625	0.0000000000	STATUS	n/a	3685.9300000000	Response
14.6004609375	0.0000000000	STATUS	n/a	3737.7180000000	Picture
15.6962617187	0.0000000000	STATUS	n/a	4018.2430000000	Picture
16.1392617187	0.0000000000	STATUS	n/a	4131.6510000000	Picture
16.6341640625	0.0000000000	STATUS	n/a	4258.3460000000	Picture
17.3659609375	0.0000000000	STATUS	n/a	4445.6860000000	Picture
17.8699609375	0.0000000000	STATUS	n/a	4574.7100000000	Picture
18.8817617187	0.0000000000	STATUS	n/a	4833.7310000000	Picture
19.4626640625	0.0000000000	STATUS	n/a	4982.4420000000	Picture
20.3765625000	0.0000000000	STATUS	n/a	5216.4000000000	Picture
21.1804609375	0.0000000000	STATUS	n/a	5422.1980000000	Picture
21.5489609375	0.0000000000	STATUS	n/a	5516.5340000000	Response
21.9563632812	0.0000000000	STATUS	n/a	5620.8290000000	Picture
22.7582617187	0.0000000000	STATUS	n/a	5826.1150000000	Picture
23.5840625000	0.0000000000	STATUS	n/a	6037.5200000000	Picture
24.6599609375	0.0000000000	STATUS	n/a	6312.9500000000	Picture
25.0283632813	0.0000000000	STATUS	n/a	6407.2610000000	Response
25.1108632813	0.0000000000	STATUS	n/a	6428.3810000000	Picture
25.7367617187	0.0000000000	STATUS	n/a	6588.6110000000	Picture
26.5256640625	0.0000000000	STATUS	n/a	6790.5700000000	Picture
26.9605625000	0.0000000000	STATUS	n/a	6901.9040000000	Picture
27.9664609375	0.0000000000	STATUS	n/a	7159.4140000000	Picture
29.0442617188	0.0000000000	STATUS	n/a	7435.3310000000	Picture
29.9020625000	0.0000000000	STATUS	n/a	7654.9280000000	Picture
30.1715625000	0.0000000000	STATUS	n/a	7723.9200000000	Response
30.3620625000	0.0000000000	STATUS	n/a	7772.6880000000	Picture
30.8353632813	0.0000000000	STATUS	n/a	7893.8530000000	Response
31.0339609375	0.0000000000	STATUS	n/a	7944.6940000000	Picture
31.4192617188	0.0000000000	STATUS	n/a	8043.3310000000	Response
32.0338632812	0.0000000000	STATUS	n/a	8200.6690000000	Picture
32.9006640625	0.0000000000	STATUS	n/a	8422.5700000000	Picture
33.3165625000	0.0000000000	STATUS	n/a	8529.0400000000	Picture
34.3694609375	0.0000000000	STATUS	n/a	8798.5820000000	Picture
35.1943632812	0.0000000000	STATUS	n/a	9009.7570000000	Picture
35.9112617187	0.0000000000	STATUS	n/a	9193.2830000000	Picture
36.3871640625	0.0000000000	STATUS	n/a	9315.1140000000	Picture
37.0150625000	0.0000000000	STATUS	n/a	9475.8560000000	Picture
38.0828632812	0.0000000000	STATUS	n/a	9749.2130000000	Picture
38.8887617187	0.0000000000	STATUS	n/a	9955.5230000000	Picture
39.7216640625	0.0000000000	STATUS	n/a	10168.7460000000	Picture
40.0498632812	0.0000000000	STATUS	n/a	10252.7650000000	Response
