onset	duration	sample	trial_type	response_time	stim_file	value
0.0566640625	0.0000000000	14.506	n/a	n/a	n/a	Picture
0.4735625000	0.0000000000	121.232	n/a	n/a	n/a	Picture
0.8954609375	0.0000000000	229.238	n/a	n/a	n/a	Picture
1.7453632812	0.0000000000	446.813	n/a	n/a	n/a	Picture
2.1483632812	0.0000000000	549.981	n/a	n/a	n/a	Picture
2.5040625000	0.0000000000	641.04	n/a	n/a	n/a	Response
3.2701640625	0.0000000000	837.162	n/a	n/a	n/a	Picture
3.7340625000	0.0000000000	955.92	n/a	n/a	n/a	Picture
4.6049609375	0.0000000000	1178.87	n/a	n/a	n/a	Picture
4.9756640625	0.0000000000	1273.77	n/a	n/a	n/a	Response
5.4578632812	0.0000000000	1397.213	n/a	n/a	n/a	Picture
5.9367617187	0.0000000000	1519.811	n/a	n/a	n/a	Picture
6.8895625000	0.0000000000	1763.728	n/a	n/a	n/a	Picture
7.7624609375	0.0000000000	1987.19	n/a	n/a	n/a	Picture
8.6193632812	0.0000000000	2206.557	n/a	n/a	n/a	Picture
9.1232617187	0.0000000000	2335.555	n/a	n/a	n/a	Picture
9.5269609375	0.0000000000	2438.902	n/a	n/a	n/a	Response
10.0731640625	0.0000000000	2578.73	n/a	n/a	n/a	Picture
10.7220625000	0.0000000000	2744.848	n/a	n/a	n/a	Picture
11.3509609375	0.0000000000	2905.846	n/a	n/a	n/a	Picture
12.1397617187	0.0000000000	3107.779	n/a	n/a	n/a	Picture
13.1726640625	0.0000000000	3372.202	n/a	n/a	n/a	Picture
14.0055625000	0.0000000000	3585.424	n/a	n/a	n/a	Picture
14.3981640625	0.0000000000	3685.93	n/a	n/a	n/a	Response
14.6004609375	0.0000000000	3737.718	n/a	n/a	n/a	Picture
15.6962617187	0.0000000000	4018.243	n/a	n/a	n/a	Picture
16.1392617187	0.0000000000	4131.651	n/a	n/a	n/a	Picture
16.6341640625	0.0000000000	4258.346	n/a	n/a	n/a	Picture
17.3659609375	0.0000000000	4445.686	n/a	n/a	n/a	Picture
17.8699609375	0.0000000000	4574.71	n/a	n/a	n/a	Picture
18.8817617187	0.0000000000	4833.731	n/a	n/a	n/a	Picture
19.4626640625	0.0000000000	4982.442	n/a	n/a	n/a	Picture
20.3765625000	0.0000000000	5216.4	n/a	n/a	n/a	Picture
21.1804609375	0.0000000000	5422.198	n/a	n/a	n/a	Picture
21.5489609375	0.0000000000	5516.534	n/a	n/a	n/a	Response
21.9563632812	0.0000000000	5620.829	n/a	n/a	n/a	Picture
22.7582617187	0.0000000000	5826.115	n/a	n/a	n/a	Picture
23.5840625000	0.0000000000	6037.52	n/a	n/a	n/a	Picture
24.6599609375	0.0000000000	6312.95	n/a	n/a	n/a	Picture
25.0283632813	0.0000000000	6407.261	n/a	n/a	n/a	Response
25.1108632813	0.0000000000	6428.381	n/a	n/a	n/a	Picture
25.7367617187	0.0000000000	6588.611	n/a	n/a	n/a	Picture
26.5256640625	0.0000000000	6790.57	n/a	n/a	n/a	Picture
26.9605625000	0.0000000000	6901.904	n/a	n/a	n/a	Picture
27.9664609375	0.0000000000	7159.414	n/a	n/a	n/a	Picture
29.0442617188	0.0000000000	7435.331	n/a	n/a	n/a	Picture
29.9020625000	0.0000000000	7654.928	n/a	n/a	n/a	Picture
30.1715625000	0.0000000000	7723.92	n/a	n/a	n/a	Response
30.3620625000	0.0000000000	7772.688	n/a	n/a	n/a	Picture
30.8353632813	0.0000000000	7893.853	n/a	n/a	n/a	Response
31.0339609375	0.0000000000	7944.694	n/a	n/a	n/a	Picture
31.4192617188	0.0000000000	8043.331	n/a	n/a	n/a	Response
32.0338632812	0.0000000000	8200.669	n/a	n/a	n/a	Picture
32.9006640625	0.0000000000	8422.57	n/a	n/a	n/a	Picture
33.3165625000	0.0000000000	8529.04	n/a	n/a	n/a	Picture
34.3694609375	0.0000000000	8798.582	n/a	n/a	n/a	Picture
35.1943632812	0.0000000000	9009.757	n/a	n/a	n/a	Picture
35.9112617187	0.0000000000	9193.283	n/a	n/a	n/a	Picture
36.3871640625	0.0000000000	9315.114	n/a	n/a	n/a	Picture
37.0150625000	0.0000000000	9475.856	n/a	n/a	n/a	Picture
38.0828632812	0.0000000000	9749.213	n/a	n/a	n/a	Picture
38.8887617187	0.0000000000	9955.523	n/a	n/a	n/a	Picture
39.7216640625	0.0000000000	10168.746	n/a	n/a	n/a	Picture
40.0498632812	0.0000000000	10252.765	n/a	n/a	n/a	Response
40.1245625000	0.0000000000	10271.888	n/a	n/a	n/a	Picture
41.1564609375	0.0000000000	10536.054	n/a	n/a	n/a	Picture
41.8813632813	0.0000000000	10721.629	n/a	n/a	n/a	Picture
42.2335625000	0.0000000000	10811.792	n/a	n/a	n/a	Response
42.8871640625	0.0000000000	10979.114	n/a	n/a	n/a	Picture
43.3133632812	0.0000000000	11088.221	n/a	n/a	n/a	Response
43.4791640625	0.0000000000	11130.666	n/a	n/a	n/a	Picture
43.8900625000	0.0000000000	11235.856	n/a	n/a	n/a	Picture
43.9452617187	0.0000000000	11249.987	n/a	n/a	n/a	Response
44.4509609375	0.0000000000	11379.446	n/a	n/a	n/a	Picture
45.0738632812	0.0000000000	11538.909	n/a	n/a	n/a	Picture
45.6017617187	0.0000000000	11674.051	n/a	n/a	n/a	Picture
46.3516640625	0.0000000000	11866.026	n/a	n/a	n/a	Picture
46.9495625000	0.0000000000	12019.088	n/a	n/a	n/a	Picture
47.9214609375	0.0000000000	12267.894	n/a	n/a	n/a	Picture
48.5933632812	0.0000000000	12439.901	n/a	n/a	n/a	Picture
49.3441640625	0.0000000000	12632.106	n/a	n/a	n/a	Picture
49.9330625000	0.0000000000	12782.864	n/a	n/a	n/a	Picture
50.9379609375	0.0000000000	13040.118	n/a	n/a	n/a	Picture
51.6008632812	0.0000000000	13209.821	n/a	n/a	n/a	Picture
51.9837617188	0.0000000000	13307.843	n/a	n/a	n/a	Response
52.1377617187	0.0000000000	13347.267	n/a	n/a	n/a	Picture
52.9496640625	0.0000000000	13555.114	n/a	n/a	n/a	Picture
54.0154609375	0.0000000000	13827.958	n/a	n/a	n/a	Picture
55.0173632812	0.0000000000	14084.445	n/a	n/a	n/a	Picture
56.1241640625	0.0000000000	14367.786	n/a	n/a	n/a	Picture
56.6840625000	0.0000000000	14511.12	n/a	n/a	n/a	Picture
57.2659609375	0.0000000000	14660.086	n/a	n/a	n/a	Picture
58.0918632812	0.0000000000	14871.517	n/a	n/a	n/a	Picture
59.1427617188	0.0000000000	15140.547	n/a	n/a	n/a	Picture
59.8486640625	0.0000000000	15321.258	n/a	n/a	n/a	Picture
60.4005625000	0.0000000000	15462.544	n/a	n/a	n/a	Picture
61.4493632813	0.0000000000	15731.037	n/a	n/a	n/a	Picture
62.0692617187	0.0000000000	15889.731	n/a	n/a	n/a	Picture
62.3421640625	0.0000000000	15959.594	n/a	n/a	n/a	Response
63.0341640625	0.0000000000	16136.746	n/a	n/a	n/a	Picture
63.4379609375	0.0000000000	16240.118	n/a	n/a	n/a	Response
64.0519609375	0.0000000000	16397.302	n/a	n/a	n/a	Picture
64.4559609375	0.0000000000	16500.726	n/a	n/a	n/a	Picture
64.9598632812	0.0000000000	16629.725	n/a	n/a	n/a	Picture
65.4136640625	0.0000000000	16745.898	n/a	n/a	n/a	Response
65.4997617187	0.0000000000	16767.939	n/a	n/a	n/a	Picture
65.9786640625	0.0000000000	16890.538	n/a	n/a	n/a	Picture
67.0705625000	0.0000000000	17170.064	n/a	n/a	n/a	Picture
67.4373632813	0.0000000000	17263.965	n/a	n/a	n/a	Response
68.0173632812	0.0000000000	17412.445	n/a	n/a	n/a	Picture
68.6382617188	0.0000000000	17571.395	n/a	n/a	n/a	Picture
68.9890625000	0.0000000000	17661.2	n/a	n/a	n/a	Response
69.6621640625	0.0000000000	17833.514	n/a	n/a	n/a	Picture
70.4210625000	0.0000000000	18027.792	n/a	n/a	n/a	Picture
71.1238632812	0.0000000000	18207.709	n/a	n/a	n/a	Picture
71.7757617188	0.0000000000	18374.595	n/a	n/a	n/a	Picture
72.1725625000	0.0000000000	18476.176	n/a	n/a	n/a	Response
72.4007617188	0.0000000000	18534.595	n/a	n/a	n/a	Picture
73.3585625000	0.0000000000	18779.792	n/a	n/a	n/a	Picture
79.9980468750	n/a	20479.5	n/a	n/a	n/a	boundary
80.0547578125	0.0000000000	20494.018	n/a	n/a	n/a	Picture
80.6646562500	0.0000000000	20650.152	n/a	n/a	n/a	Picture
81.0848554688	0.0000000000	20757.723	n/a	n/a	n/a	Response
81.1295546875	0.0000000000	20769.166	n/a	n/a	n/a	Picture
81.6687578125	0.0000000000	20907.202	n/a	n/a	n/a	Response
82.1514570313	0.0000000000	21030.773	n/a	n/a	n/a	Picture
82.5405546875	0.0000000000	21130.382	n/a	n/a	n/a	Response
83.1732578125	0.0000000000	21292.354	n/a	n/a	n/a	Picture
83.8611562500	0.0000000000	21468.456	n/a	n/a	n/a	Picture
84.3570546875	0.0000000000	21595.406	n/a	n/a	n/a	Picture
85.4129570313	0.0000000000	21865.717	n/a	n/a	n/a	Picture
85.7640546875	0.0000000000	21955.598	n/a	n/a	n/a	Response
85.9058554688	0.0000000000	21991.899	n/a	n/a	n/a	Picture
86.7207578125	0.0000000000	22200.514	n/a	n/a	n/a	Picture
87.1586562500	0.0000000000	22312.616	n/a	n/a	n/a	Picture
87.8415546875	0.0000000000	22487.438	n/a	n/a	n/a	Picture
88.9453554687	0.0000000000	22770.011	n/a	n/a	n/a	Picture
89.7992578125	0.0000000000	22988.61	n/a	n/a	n/a	Picture
90.4291562500	0.0000000000	23149.864	n/a	n/a	n/a	Picture
91.0780546875	0.0000000000	23315.982	n/a	n/a	n/a	Picture
92.1839570313	0.0000000000	23599.093	n/a	n/a	n/a	Picture
92.8038554688	0.0000000000	23757.787	n/a	n/a	n/a	Picture
93.4027578125	0.0000000000	23911.106	n/a	n/a	n/a	Picture
93.9196562500	0.0000000000	24043.432	n/a	n/a	n/a	Picture
94.2666562500	0.0000000000	24132.264	n/a	n/a	n/a	Response
94.4655546875	0.0000000000	24183.182	n/a	n/a	n/a	Picture
94.8025546875	0.0000000000	24269.454	n/a	n/a	n/a	Response
95.2924570312	0.0000000000	24394.869	n/a	n/a	n/a	Picture
96.3132578125	0.0000000000	24656.194	n/a	n/a	n/a	Picture
97.2881562500	0.0000000000	24905.768	n/a	n/a	n/a	Picture
98.3509570313	0.0000000000	25177.845	n/a	n/a	n/a	Picture
98.9228554688	0.0000000000	25324.251	n/a	n/a	n/a	Picture
99.9157578125	0.0000000000	25578.434	n/a	n/a	n/a	Picture
100.3996562500	0.0000000000	25702.312	n/a	n/a	n/a	Picture
101.1785546875	0.0000000000	25901.71	n/a	n/a	n/a	Picture
102.1973554688	0.0000000000	26162.523	n/a	n/a	n/a	Picture
103.2852578125	0.0000000000	26441.026	n/a	n/a	n/a	Picture
103.9901562500	0.0000000000	26621.48	n/a	n/a	n/a	Picture
105.0879570312	0.0000000000	26902.517	n/a	n/a	n/a	Picture
105.9048554688	0.0000000000	27111.643	n/a	n/a	n/a	Picture
106.4097578125	0.0000000000	27240.898	n/a	n/a	n/a	Picture
106.7365546875	0.0000000000	27324.558	n/a	n/a	n/a	Response
107.2586562500	0.0000000000	27458.216	n/a	n/a	n/a	Picture
107.7665546875	0.0000000000	27588.238	n/a	n/a	n/a	Picture
108.1443554688	0.0000000000	27684.955	n/a	n/a	n/a	Response
108.2714570313	0.0000000000	27717.493	n/a	n/a	n/a	Picture
109.2353554688	0.0000000000	27964.251	n/a	n/a	n/a	Picture
110.2641562500	0.0000000000	28227.624	n/a	n/a	n/a	Picture
110.6501562500	0.0000000000	28326.44	n/a	n/a	n/a	Picture
111.1180546875	0.0000000000	28446.222	n/a	n/a	n/a	Picture
111.6649570312	0.0000000000	28586.229	n/a	n/a	n/a	Picture
112.6108554688	0.0000000000	28828.379	n/a	n/a	n/a	Picture
113.0947578125	0.0000000000	28952.258	n/a	n/a	n/a	Picture
113.4474570312	0.0000000000	29042.549	n/a	n/a	n/a	Response
114.1245546875	0.0000000000	29215.886	n/a	n/a	n/a	Picture
114.9414570312	0.0000000000	29425.013	n/a	n/a	n/a	Picture
116.0643554687	0.0000000000	29712.475	n/a	n/a	n/a	Picture
116.5542578125	0.0000000000	29837.89	n/a	n/a	n/a	Picture
117.6630546875	0.0000000000	30121.742	n/a	n/a	n/a	Picture
118.6368554687	0.0000000000	30371.035	n/a	n/a	n/a	Picture
119.5487578125	0.0000000000	30604.482	n/a	n/a	n/a	Picture
120.2056562500	0.0000000000	30772.648	n/a	n/a	n/a	Picture
120.6062578125	0.0000000000	30875.202	n/a	n/a	n/a	Response
121.0215546875	0.0000000000	30981.518	n/a	n/a	n/a	Picture
121.6061562500	0.0000000000	31131.176	n/a	n/a	n/a	Response
122.0173554687	0.0000000000	31236.443	n/a	n/a	n/a	Picture
122.5213554688	0.0000000000	31365.467	n/a	n/a	n/a	Picture
123.1702578125	0.0000000000	31531.586	n/a	n/a	n/a	Picture
123.7591562500	0.0000000000	31682.344	n/a	n/a	n/a	Picture
124.2136562500	0.0000000000	31798.696	n/a	n/a	n/a	Response
124.6360546875	0.0000000000	31906.83	n/a	n/a	n/a	Picture
125.2455546875	0.0000000000	32062.862	n/a	n/a	n/a	Response
125.4368554687	0.0000000000	32111.835	n/a	n/a	n/a	Picture
126.2533554688	0.0000000000	32320.859	n/a	n/a	n/a	Response
126.4216562500	0.0000000000	32363.944	n/a	n/a	n/a	Picture
127.4925546875	0.0000000000	32638.094	n/a	n/a	n/a	Picture
127.9604570313	0.0000000000	32757.877	n/a	n/a	n/a	Picture
128.8813554688	0.0000000000	32993.627	n/a	n/a	n/a	Picture
129.6462578125	0.0000000000	33189.442	n/a	n/a	n/a	Picture
130.1591562500	0.0000000000	33320.744	n/a	n/a	n/a	Picture
130.9210546875	0.0000000000	33515.79	n/a	n/a	n/a	Picture
131.9388554688	0.0000000000	33776.347	n/a	n/a	n/a	Picture
132.8327578125	0.0000000000	34005.186	n/a	n/a	n/a	Picture
133.5866562500	0.0000000000	34198.184	n/a	n/a	n/a	Picture
133.9080546875	0.0000000000	34280.462	n/a	n/a	n/a	Response
134.1095546875	0.0000000000	34332.046	n/a	n/a	n/a	Picture
135.1614570312	0.0000000000	34601.333	n/a	n/a	n/a	Picture
135.8593554688	0.0000000000	34779.995	n/a	n/a	n/a	Picture
136.2356562500	0.0000000000	34876.328	n/a	n/a	n/a	Response
136.8771562500	0.0000000000	35040.552	n/a	n/a	n/a	Picture
137.9050546875	0.0000000000	35303.694	n/a	n/a	n/a	Picture
138.8928554687	0.0000000000	35556.571	n/a	n/a	n/a	Picture
139.9287578125	0.0000000000	35821.762	n/a	n/a	n/a	Picture
140.5406562500	0.0000000000	35978.408	n/a	n/a	n/a	Picture
140.9535546875	0.0000000000	36084.11	n/a	n/a	n/a	Picture
141.2828554688	0.0000000000	36168.411	n/a	n/a	n/a	Response
141.8534570313	0.0000000000	36314.485	n/a	n/a	n/a	Picture
142.3403554688	0.0000000000	36439.131	n/a	n/a	n/a	Picture
142.9632578125	0.0000000000	36598.594	n/a	n/a	n/a	Picture
143.4981562500	0.0000000000	36735.528	n/a	n/a	n/a	Picture
144.3830546875	0.0000000000	36962.062	n/a	n/a	n/a	Picture
145.3548554688	0.0000000000	37210.843	n/a	n/a	n/a	Picture
145.6661562500	0.0000000000	37290.536	n/a	n/a	n/a	Response
146.2267578125	0.0000000000	37434.05	n/a	n/a	n/a	Picture
147.3075546875	0.0000000000	37710.734	n/a	n/a	n/a	Picture
147.9884570312	0.0000000000	37885.045	n/a	n/a	n/a	Picture
148.4004570312	0.0000000000	37990.517	n/a	n/a	n/a	Picture
149.2752578125	0.0000000000	38214.466	n/a	n/a	n/a	Picture
149.6592578125	0.0000000000	38312.77	n/a	n/a	n/a	Picture
150.6170546875	0.0000000000	38557.966	n/a	n/a	n/a	Picture
151.5449570312	0.0000000000	38795.509	n/a	n/a	n/a	Picture
152.6567578125	0.0000000000	39080.13	n/a	n/a	n/a	Picture
152.9289570312	0.0000000000	39149.813	n/a	n/a	n/a	Response
153.1466562500	0.0000000000	39205.544	n/a	n/a	n/a	Picture
153.9605546875	0.0000000000	39413.902	n/a	n/a	n/a	Picture
154.6744570313	0.0000000000	39596.661	n/a	n/a	n/a	Picture
155.2313554687	0.0000000000	39739.227	n/a	n/a	n/a	Picture
155.6323554688	0.0000000000	39841.883	n/a	n/a	n/a	Picture
155.7044570313	0.0000000000	39860.341	n/a	n/a	n/a	Response
161.9980468750	n/a	41471.5	n/a	n/a	n/a	boundary
162.0541250000	0.0000000000	41485.856	n/a	n/a	n/a	Picture
162.4781250000	0.0000000000	41594.4	n/a	n/a	n/a	Picture
162.9260234375	0.0000000000	41709.062	n/a	n/a	n/a	Picture
163.8579257813	0.0000000000	41947.629	n/a	n/a	n/a	Picture
164.2978242188	0.0000000000	42060.243	n/a	n/a	n/a	Picture
164.7197265625	0.0000000000	42168.25	n/a	n/a	n/a	Picture
165.2657265625	0.0000000000	42308.026	n/a	n/a	n/a	Picture
165.8806250000	0.0000000000	42465.44	n/a	n/a	n/a	Picture
166.5255234375	0.0000000000	42630.534	n/a	n/a	n/a	Picture
166.9424257812	0.0000000000	42737.261	n/a	n/a	n/a	Picture
167.6015625000	0.0000000000	42906	n/a	n/a	n/a	35
167.6343242188	0.0000000000	42914.387	n/a	n/a	n/a	Picture
168.3642265625	0.0000000000	43101.242	n/a	n/a	n/a	Picture
168.7109375000	0.0000000000	43190	n/a	n/a	n/a	35
169.1328125000	0.0000000000	43298	n/a	n/a	n/a	35
169.3950234375	0.0000000000	43365.126	n/a	n/a	n/a	Picture
169.5820312500	0.0000000000	43413	n/a	n/a	n/a	31
170.1569257813	0.0000000000	43560.173	n/a	n/a	n/a	Picture
170.5156250000	0.0000000000	43652	n/a	n/a	n/a	35
170.8838242187	0.0000000000	43746.259	n/a	n/a	n/a	Picture
170.9531250000	0.0000000000	43764	n/a	n/a	n/a	35
171.3750000000	0.0000000000	43872	n/a	n/a	n/a	31
171.9747265625	0.0000000000	44025.53	n/a	n/a	n/a	Picture
172.5351562500	0.0000000000	44169	n/a	n/a	n/a	31
172.8475234375	0.0000000000	44248.966	n/a	n/a	n/a	Picture
173.1835937500	0.0000000000	44335	n/a	n/a	n/a	35
173.4954257812	0.0000000000	44414.829	n/a	n/a	n/a	Picture
173.5976562500	0.0000000000	44441	n/a	n/a	n/a	34
174.3653242188	0.0000000000	44637.523	n/a	n/a	n/a	Picture
174.7027265625	0.0000000000	44723.898	n/a	n/a	n/a	Response
175.0195312500	0.0000000000	44805	n/a	n/a	n/a	34
175.4171250000	0.0000000000	44906.784	n/a	n/a	n/a	Picture
176.0507812500	0.0000000000	45069	n/a	n/a	n/a	34
176.0940234375	0.0000000000	45080.07	n/a	n/a	n/a	Picture
177.0659257813	0.0000000000	45328.877	n/a	n/a	n/a	Picture
177.7488242188	0.0000000000	45503.699	n/a	n/a	n/a	Picture
178.3037265625	0.0000000000	45645.754	n/a	n/a	n/a	Picture
178.6289062500	0.0000000000	45729	n/a	n/a	n/a	35
179.0226250000	0.0000000000	45829.792	n/a	n/a	n/a	Picture
179.4299257813	0.0000000000	45934.061	n/a	n/a	n/a	Response
179.5039062500	0.0000000000	45953	n/a	n/a	n/a	34
180.0794257812	0.0000000000	46100.333	n/a	n/a	n/a	Picture
180.1523437500	0.0000000000	46119	n/a	n/a	n/a	34
181.0153242188	0.0000000000	46339.923	n/a	n/a	n/a	Picture
181.0234375000	0.0000000000	46342	n/a	n/a	n/a	33
181.7372265625	0.0000000000	46524.73	n/a	n/a	n/a	Picture
182.0742187500	0.0000000000	46611	n/a	n/a	n/a	34
182.2961250000	0.0000000000	46667.808	n/a	n/a	n/a	Picture
182.6693242188	0.0000000000	46763.347	n/a	n/a	n/a	Response
183.2460234375	0.0000000000	46910.982	n/a	n/a	n/a	Picture
183.7226562500	0.0000000000	47033	n/a	n/a	n/a	35
184.0918242187	0.0000000000	47127.507	n/a	n/a	n/a	Picture
184.4062500000	0.0000000000	47208	n/a	n/a	n/a	34
185.1467265625	0.0000000000	47397.562	n/a	n/a	n/a	Picture
185.6796875000	0.0000000000	47534	n/a	n/a	n/a	33
185.7206250000	0.0000000000	47544.48	n/a	n/a	n/a	Picture
186.1675234375	0.0000000000	47658.886	n/a	n/a	n/a	Picture
186.7343750000	0.0000000000	47804	n/a	n/a	n/a	31
187.0174257813	0.0000000000	47876.461	n/a	n/a	n/a	Picture
187.6718750000	0.0000000000	48044	n/a	n/a	n/a	34
188.1162265625	0.0000000000	48157.754	n/a	n/a	n/a	Picture
188.3945312500	0.0000000000	48229	n/a	n/a	n/a	34
188.7021250000	0.0000000000	48307.744	n/a	n/a	n/a	Picture
188.9531250000	0.0000000000	48372	n/a	n/a	n/a	33
189.0283242188	0.0000000000	48391.251	n/a	n/a	n/a	Response
189.3620234375	0.0000000000	48476.678	n/a	n/a	n/a	Picture
189.8630234375	0.0000000000	48604.934	n/a	n/a	n/a	Picture
190.3809257812	0.0000000000	48737.517	n/a	n/a	n/a	Picture
190.7500000000	0.0000000000	48832	n/a	n/a	n/a	31
191.1168242187	0.0000000000	48925.907	n/a	n/a	n/a	Picture
191.8046875000	0.0000000000	49102	n/a	n/a	n/a	35
192.1576250000	0.0000000000	49192.352	n/a	n/a	n/a	Picture
192.3750000000	0.0000000000	49248	n/a	n/a	n/a	31
192.8242187500	0.0000000000	49363	n/a	n/a	n/a	31
193.0415234375	0.0000000000	49418.63	n/a	n/a	n/a	Picture
194.1123242187	0.0000000000	49692.755	n/a	n/a	n/a	Picture
194.4754257813	0.0000000000	49785.709	n/a	n/a	n/a	Response
194.7734375000	0.0000000000	49862	n/a	n/a	n/a	35
195.0732265625	0.0000000000	49938.746	n/a	n/a	n/a	Picture
195.3593750000	0.0000000000	50012	n/a	n/a	n/a	33
195.5072265625	0.0000000000	50049.85	n/a	n/a	n/a	Response
195.6551250000	0.0000000000	50087.712	n/a	n/a	n/a	Picture
196.0195312500	0.0000000000	50181	n/a	n/a	n/a	31
196.0831250000	0.0000000000	50197.28	n/a	n/a	n/a	Response
196.4010234375	0.0000000000	50278.662	n/a	n/a	n/a	Picture
196.5195312500	0.0000000000	50309	n/a	n/a	n/a	34
197.0390625000	0.0000000000	50442	n/a	n/a	n/a	31
197.2188242188	0.0000000000	50488.019	n/a	n/a	n/a	Picture
197.6028242188	0.0000000000	50586.323	n/a	n/a	n/a	Response
197.6221250000	0.0000000000	50591.264	n/a	n/a	n/a	Picture
197.7734375000	0.0000000000	50630	n/a	n/a	n/a	31
198.5796250000	0.0000000000	50836.384	n/a	n/a	n/a	Picture
199.7005234375	0.0000000000	51123.334	n/a	n/a	n/a	Picture
200.3424257813	0.0000000000	51287.661	n/a	n/a	n/a	Picture
200.7695312500	0.0000000000	51397	n/a	n/a	n/a	33
200.9243242188	0.0000000000	51436.627	n/a	n/a	n/a	Picture
201.7304687500	0.0000000000	51643	n/a	n/a	n/a	33
201.9421250000	0.0000000000	51697.184	n/a	n/a	n/a	Picture
202.3125000000	0.0000000000	51792	n/a	n/a	n/a	33
202.6180234375	0.0000000000	51870.214	n/a	n/a	n/a	Picture
203.4499257812	0.0000000000	52083.181	n/a	n/a	n/a	Picture
203.8178242187	0.0000000000	52177.363	n/a	n/a	n/a	Response
203.8750000000	0.0000000000	52192	n/a	n/a	n/a	33
204.2773437500	0.0000000000	52295	n/a	n/a	n/a	35
204.5528242188	0.0000000000	52365.523	n/a	n/a	n/a	Picture
205.5126250000	0.0000000000	52611.232	n/a	n/a	n/a	Picture
206.3554687500	0.0000000000	52827	n/a	n/a	n/a	35
206.5554257812	0.0000000000	52878.189	n/a	n/a	n/a	Picture
207.0000000000	0.0000000000	52992	n/a	n/a	n/a	34
207.5353242187	0.0000000000	53129.043	n/a	n/a	n/a	Picture
207.9612265625	0.0000000000	53238.074	n/a	n/a	n/a	Picture
208.5976562500	0.0000000000	53401	n/a	n/a	n/a	34
