onset	duration	trial_type	response_time	sample	value
0.0531679688	0.0000000000	STATUS	n/a	13.6110000000	Picture
1.1529687500	0.0000000000	STATUS	n/a	295.1600000000	Picture
1.8068671875	0.0000000000	STATUS	n/a	462.5580000000	Picture
2.5867695312	0.0000000000	STATUS	n/a	662.2130000000	Picture
3.0872695313	0.0000000000	STATUS	n/a	790.3410000000	Response
3.3816679687	0.0000000000	STATUS	n/a	865.7070000000	Picture
3.7785703125	0.0000000000	STATUS	n/a	967.3140000000	Picture
4.8204687500	0.0000000000	STATUS	n/a	1234.0400000000	Picture
5.6452695313	0.0000000000	STATUS	n/a	1445.1890000000	Picture
6.3541679687	0.0000000000	STATUS	n/a	1626.6670000000	Picture
6.8560703125	0.0000000000	STATUS	n/a	1755.1540000000	Picture
7.1505703125	0.0000000000	STATUS	n/a	1830.5460000000	Response
7.5559687500	0.0000000000	STATUS	n/a	1934.3280000000	Picture
8.3198671875	0.0000000000	STATUS	n/a	2129.8860000000	Picture
9.1367695312	0.0000000000	STATUS	n/a	2339.0130000000	Picture
9.8776679687	0.0000000000	STATUS	n/a	2528.6830000000	Picture
10.2220703125	0.0000000000	STATUS	n/a	2616.8500000000	Response
10.8394687500	0.0000000000	STATUS	n/a	2774.9040000000	Picture
11.6983671875	0.0000000000	STATUS	n/a	2994.7820000000	Picture
11.9497695313	0.0000000000	STATUS	n/a	3059.1410000000	Response
12.4062695313	0.0000000000	STATUS	n/a	3176.0050000000	Picture
13.5060703125	0.0000000000	STATUS	n/a	3457.5540000000	Picture
14.4179687500	0.0000000000	STATUS	n/a	3691.0000000000	Picture
14.7733671875	0.0000000000	STATUS	n/a	3781.9820000000	Response
15.0358671875	0.0000000000	STATUS	n/a	3849.1820000000	Picture
16.1616679687	0.0000000000	STATUS	n/a	4137.3870000000	Picture
16.8975703125	0.0000000000	STATUS	n/a	4325.7780000000	Picture
17.8194687500	0.0000000000	STATUS	n/a	4561.7840000000	Picture
18.2433671875	0.0000000000	STATUS	n/a	4670.3020000000	Picture
18.9172695312	0.0000000000	STATUS	n/a	4842.8210000000	Picture
19.3245703125	0.0000000000	STATUS	n/a	4947.0900000000	Response
19.8841679687	0.0000000000	STATUS	n/a	5090.3470000000	Picture
20.5220703125	0.0000000000	STATUS	n/a	5253.6500000000	Picture
21.4608671875	0.0000000000	STATUS	n/a	5493.9820000000	Picture
22.2937695312	0.0000000000	STATUS	n/a	5707.2050000000	Picture
23.1716679688	0.0000000000	STATUS	n/a	5931.9470000000	Picture
23.9325703125	0.0000000000	STATUS	n/a	6126.7380000000	Picture
24.7673671875	0.0000000000	STATUS	n/a	6340.4460000000	Picture
25.4922695312	0.0000000000	STATUS	n/a	6526.0210000000	Picture
25.8594687500	0.0000000000	STATUS	n/a	6620.0240000000	Response
26.3621679688	0.0000000000	STATUS	n/a	6748.7150000000	Picture
26.7393671875	0.0000000000	STATUS	n/a	6845.2780000000	Response
27.2280703125	0.0000000000	STATUS	n/a	6970.3860000000	Picture
28.3338671875	0.0000000000	STATUS	n/a	7253.4700000000	Picture
28.7627695313	0.0000000000	STATUS	n/a	7363.2690000000	Picture
29.2826679688	0.0000000000	STATUS	n/a	7496.3630000000	Picture
30.0555703125	0.0000000000	STATUS	n/a	7694.2260000000	Picture
30.7046679688	0.0000000000	STATUS	n/a	7860.3950000000	Picture
31.5703671875	0.0000000000	STATUS	n/a	8082.0140000000	Picture
32.3742695313	0.0000000000	STATUS	n/a	8287.8130000000	Picture
33.1601679688	0.0000000000	STATUS	n/a	8489.0030000000	Picture
33.5920703125	0.0000000000	STATUS	n/a	8599.5700000000	Picture
34.3360703125	0.0000000000	STATUS	n/a	8790.0340000000	Picture
35.2578671875	0.0000000000	STATUS	n/a	9026.0140000000	Picture
35.6817695312	0.0000000000	STATUS	n/a	9134.5330000000	Picture
36.2686679688	0.0000000000	STATUS	n/a	9284.7790000000	Picture
36.6096679688	0.0000000000	STATUS	n/a	9372.0750000000	Response
37.3564687500	0.0000000000	STATUS	n/a	9563.2560000000	Picture
37.9883671875	0.0000000000	STATUS	n/a	9725.0220000000	Picture
38.7882695313	0.0000000000	STATUS	n/a	9929.7970000000	Picture
39.2392695313	0.0000000000	STATUS	n/a	10045.2530000000	Picture
40.3120703125	0.0000000000	STATUS	n/a	10319.8900000000	Picture
41.1679687500	0.0000000000	STATUS	n/a	10539.0000000000	Picture
41.4728671875	0.0000000000	STATUS	n/a	10617.0540000000	Response
42.2217695312	0.0000000000	STATUS	n/a	10808.7730000000	Picture
42.7566679688	0.0000000000	STATUS	n/a	10945.7070000000	Picture
43.8675703125	0.0000000000	STATUS	n/a	11230.0980000000	Picture
44.8763671875	0.0000000000	STATUS	n/a	11488.3500000000	Picture
45.3762695313	0.0000000000	STATUS	n/a	11616.3250000000	Response
45.8601679687	0.0000000000	STATUS	n/a	11740.2030000000	Picture
46.7320703125	0.0000000000	STATUS	n/a	11963.4100000000	Picture
47.7779687500	0.0000000000	STATUS	n/a	12231.1600000000	Picture
48.1277695313	0.0000000000	STATUS	n/a	12320.7090000000	Response
48.6197695313	0.0000000000	STATUS	n/a	12446.6610000000	Picture
49.5726679687	0.0000000000	STATUS	n/a	12690.6030000000	Picture
50.0554687500	0.0000000000	STATUS	n/a	12814.2000000000	Response
50.4015703125	0.0000000000	STATUS	n/a	12902.8020000000	Picture
51.2643671875	0.0000000000	STATUS	n/a	13123.6780000000	Picture
52.3002695313	0.0000000000	STATUS	n/a	13388.8690000000	Picture
52.7161679687	0.0000000000	STATUS	n/a	13495.3390000000	Picture
53.3580703125	0.0000000000	STATUS	n/a	13659.6660000000	Picture
53.9099687500	0.0000000000	STATUS	n/a	13800.9520000000	Picture
54.7798671875	0.0000000000	STATUS	n/a	14023.6460000000	Picture
55.1847695312	0.0000000000	STATUS	n/a	14127.3010000000	Picture
56.2976679687	0.0000000000	STATUS	n/a	14412.2030000000	Picture
57.1225703125	0.0000000000	STATUS	n/a	14623.3780000000	Picture
57.5864687500	0.0000000000	STATUS	n/a	14742.1360000000	Picture
58.0623671875	0.0000000000	STATUS	n/a	14863.9660000000	Picture
58.9262695312	0.0000000000	STATUS	n/a	15085.1250000000	Picture
59.5301679687	0.0000000000	STATUS	n/a	15239.7230000000	Picture
60.0090703125	0.0000000000	STATUS	n/a	15362.3220000000	Picture
60.7919687500	0.0000000000	STATUS	n/a	15562.7440000000	Picture
61.5108671875	0.0000000000	STATUS	n/a	15746.7820000000	Picture
62.3597695313	0.0000000000	STATUS	n/a	15964.1010000000	Picture
62.8676679687	0.0000000000	STATUS	n/a	16094.1230000000	Picture
63.2132695312	0.0000000000	STATUS	n/a	16182.5970000000	Response
63.4425703125	0.0000000000	STATUS	n/a	16241.2980000000	Picture
64.4783671875	0.0000000000	STATUS	n/a	16506.4620000000	Picture
65.2662695313	0.0000000000	STATUS	n/a	16708.1650000000	Picture
65.7131679687	0.0000000000	STATUS	n/a	16822.5710000000	Picture
66.0768671875	0.0000000000	STATUS	n/a	16915.6780000000	Response
66.1781679688	0.0000000000	STATUS	n/a	16941.6110000000	Picture
66.5487695313	0.0000000000	STATUS	n/a	17036.4850000000	Response
66.6670703125	0.0000000000	STATUS	n/a	17066.7700000000	Picture
67.2879687500	0.0000000000	STATUS	n/a	17225.7200000000	Picture
68.2858671875	0.0000000000	STATUS	n/a	17481.1820000000	Picture
68.9017695312	0.0000000000	STATUS	n/a	17638.8530000000	Picture
69.2442695312	0.0000000000	STATUS	n/a	17726.5330000000	Response
69.3046679687	0.0000000000	STATUS	n/a	17741.9950000000	Picture
69.6682695313	0.0000000000	STATUS	n/a	17835.0770000000	Response
69.9125703125	0.0000000000	STATUS	n/a	17897.6180000000	Picture
70.6594687500	0.0000000000	STATUS	n/a	18088.8240000000	Picture
71.1563671875	0.0000000000	STATUS	n/a	18216.0300000000	Picture
72.2022695312	0.0000000000	STATUS	n/a	18483.7810000000	Picture
72.5877695313	0.0000000000	STATUS	n/a	18582.4690000000	Response
72.6701679687	0.0000000000	STATUS	n/a	18603.5630000000	Picture
73.7340703125	0.0000000000	STATUS	n/a	18875.9220000000	Picture
74.3409687500	0.0000000000	STATUS	n/a	19031.2880000000	Picture
74.6353671875	0.0000000000	STATUS	n/a	19106.6540000000	Response
83.9980468750	n/a	STATUS	n/a	21503.5000000000	boundary
84.0549375000	0.0000000000	STATUS	n/a	21518.0640000000	Picture
84.9687382812	0.0000000000	STATUS	n/a	21751.9970000000	Picture
86.0476367187	0.0000000000	STATUS	n/a	22028.1950000000	Picture
87.0135390625	0.0000000000	STATUS	n/a	22275.4660000000	Picture
87.3787382812	0.0000000000	STATUS	n/a	22368.9570000000	Response
87.8163359375	0.0000000000	STATUS	n/a	22480.9820000000	Picture
88.2025390625	0.0000000000	STATUS	n/a	22579.8500000000	Response
88.5372382812	0.0000000000	STATUS	n/a	22665.5330000000	Picture
88.8744375000	0.0000000000	STATUS	n/a	22751.8560000000	Response
89.4321367188	0.0000000000	STATUS	n/a	22894.6270000000	Picture
90.2919375000	0.0000000000	STATUS	n/a	23114.7360000000	Picture
91.0469375000	0.0000000000	STATUS	n/a	23308.0160000000	Picture
92.1937382813	0.0000000000	STATUS	n/a	23601.5970000000	Picture
93.2005390625	0.0000000000	STATUS	n/a	23859.3380000000	Picture
94.0614375000	0.0000000000	STATUS	n/a	24079.7280000000	Picture
95.0232382813	0.0000000000	STATUS	n/a	24325.9490000000	Picture
95.2653359375	0.0000000000	STATUS	n/a	24387.9260000000	Response
96.1041367187	0.0000000000	STATUS	n/a	24602.6590000000	Picture
96.6130390625	0.0000000000	STATUS	n/a	24732.9380000000	Picture
96.9931367187	0.0000000000	STATUS	n/a	24830.2430000000	Response
97.3049375000	0.0000000000	STATUS	n/a	24910.0640000000	Picture
97.7449375000	0.0000000000	STATUS	n/a	25022.7040000000	Response
98.3937382812	0.0000000000	STATUS	n/a	25188.7970000000	Picture
99.1546367187	0.0000000000	STATUS	n/a	25383.5870000000	Picture
99.9555390625	0.0000000000	STATUS	n/a	25588.6180000000	Picture
100.5664375000	0.0000000000	STATUS	n/a	25745.0080000000	Picture
100.9444375000	0.0000000000	STATUS	n/a	25841.7760000000	Response
101.3453359375	0.0000000000	STATUS	n/a	25944.4060000000	Picture
102.2061367188	0.0000000000	STATUS	n/a	26164.7710000000	Picture
102.7751367188	0.0000000000	STATUS	n/a	26310.4350000000	Picture
103.8999375000	0.0000000000	STATUS	n/a	26598.3840000000	Picture
104.8197382812	0.0000000000	STATUS	n/a	26833.8530000000	Picture
105.2207382812	0.0000000000	STATUS	n/a	26936.5090000000	Picture
106.3715390625	0.0000000000	STATUS	n/a	27231.1140000000	Picture
106.7964375000	0.0000000000	STATUS	n/a	27339.8880000000	Picture
107.2064375000	0.0000000000	STATUS	n/a	27444.8480000000	Picture
108.3362382813	0.0000000000	STATUS	n/a	27734.0770000000	Picture
109.2361367188	0.0000000000	STATUS	n/a	27964.4510000000	Picture
110.2619375000	0.0000000000	STATUS	n/a	28227.0560000000	Picture
111.4028359375	0.0000000000	STATUS	n/a	28519.1260000000	Picture
112.2047382813	0.0000000000	STATUS	n/a	28724.4130000000	Picture
112.6625390625	0.0000000000	STATUS	n/a	28841.6100000000	Response
112.7585390625	0.0000000000	STATUS	n/a	28866.1860000000	Picture
113.7354375000	0.0000000000	STATUS	n/a	29116.2720000000	Picture
114.7702382813	0.0000000000	STATUS	n/a	29381.1810000000	Picture
115.1100390625	0.0000000000	STATUS	n/a	29468.1700000000	Response
115.8231367187	0.0000000000	STATUS	n/a	29650.7230000000	Picture
116.2540390625	0.0000000000	STATUS	n/a	29761.0340000000	Picture
116.7020390625	0.0000000000	STATUS	n/a	29875.7220000000	Picture
117.0057382812	0.0000000000	STATUS	n/a	29953.4690000000	Response
117.1099375000	0.0000000000	STATUS	n/a	29980.1440000000	Picture
117.6578359375	0.0000000000	STATUS	n/a	30120.4060000000	Picture
118.1508359375	0.0000000000	STATUS	n/a	30246.6140000000	Picture
118.6737382812	0.0000000000	STATUS	n/a	30380.4770000000	Picture
119.0374375000	0.0000000000	STATUS	n/a	30473.5840000000	Response
119.6385390625	0.0000000000	STATUS	n/a	30627.4660000000	Picture
120.1105390625	0.0000000000	STATUS	n/a	30748.2980000000	Picture
120.7654375000	0.0000000000	STATUS	n/a	30915.9520000000	Picture
121.6472382812	0.0000000000	STATUS	n/a	31141.6930000000	Picture
122.5011367187	0.0000000000	STATUS	n/a	31360.2910000000	Picture
122.9290390625	0.0000000000	STATUS	n/a	31469.8340000000	Picture
123.5140390625	0.0000000000	STATUS	n/a	31619.5940000000	Picture
