name	x	y	z
A1	0.07	0.06	0.02
A2	0.08	0.05	0.04
A3	0.08	0.05	0.06
A4	0.07	0.05	0.08
A5	0.06	0.05	0.09
A6	0.05	0.05	0.10
A7	0.03	0.05	0.11
A8	0.06	0.06	0.00
A9	0.06	0.06	0.03
A10	0.06	0.06	0.05
A11	0.06	0.06	0.06
A12	0.05	0.06	0.08
A13	0.04	0.06	0.09
A14	0.02	0.06	0.10
A15	0.04	0.06	-0.02
A16	0.05	0.06	0.01
A17	0.05	0.07	0.04
A18	0.05	0.07	0.06
A19	0.04	0.07	0.07
A20	0.03	0.07	0.08
A21	0.01	0.07	0.09
A22	0.03	0.07	-0.01
A23	0.04	0.07	0.02
A24	0.03	0.07	0.04
A25	0.03	0.07	0.06
A26	0.01	0.07	0.06
A27	-0.01	0.07	0.07
A28	0.02	0.07	0.00
A29	0.03	0.07	0.02
A30	0.02	0.07	0.05
A31	0.00	0.08	0.05
A32	-0.03	0.07	0.05
B1	0.06	0.04	0.11
B2	0.05	0.02	0.12
B3	0.07	0.00	0.12
B4	0.06	-0.01	0.12
B5	0.07	-0.04	0.11
B6	0.04	0.04	0.12
B7	0.04	0.02	0.13
B8	0.05	0.00	0.13
B9	0.04	-0.02	0.13
B10	0.05	-0.04	0.12
B11	0.03	0.04	0.13
B12	0.03	0.00	0.14
B13	0.03	-0.04	0.13
B14	0.01	0.06	0.12
B15	0.00	0.04	0.13
B16	-0.01	0.02	0.14
B17	0.01	0.00	0.14
B18	-0.01	-0.02	0.14
B19	0.00	-0.04	0.13
B20	0.02	-0.06	0.12
B21	-0.01	0.06	0.12
B22	-0.02	0.04	0.13
B23	-0.03	0.02	0.13
B24	-0.02	0.00	0.14
B25	-0.03	-0.02	0.13
B26	-0.02	-0.04	0.13
B27	-0.01	-0.06	0.12
B28	-0.03	0.05	0.12
B29	-0.04	0.03	0.12
B30	-0.05	-0.00	0.13
B31	-0.04	-0.04	0.12
B32	-0.03	-0.06	0.11
C1	-0.07	0.03	-0.03
C2	-0.08	0.02	-0.03
C3	-0.07	0.05	0.05
C4	-0.08	0.03	0.05
C5	-0.09	0.01	0.07
C6	-0.09	-0.00	0.07
C7	-0.09	-0.02	0.07
C8	-0.08	-0.04	0.06
C9	-0.07	-0.05	0.05
C10	-0.08	-0.02	-0.02
C11	-0.07	-0.04	-0.03
C12	-0.08	0.03	0.04
C13	-0.09	0.02	0.05
C14	-0.09	-0.00	0.06
C15	-0.09	-0.02	0.05
C16	-0.08	-0.04	0.04
C17	-0.08	0.04	0.02
C18	-0.09	0.02	0.03
C19	-0.09	-0.00	0.04
C20	-0.09	-0.02	0.03
C21	-0.08	-0.04	0.02
C22	-0.07	0.04	0.00
C23	-0.09	0.02	0.01
C24	-0.09	-0.00	0.02
C25	-0.09	-0.02	0.01
C26	-0.08	-0.04	0.01
C27	-0.07	0.03	-0.01
C28	-0.08	0.02	-0.01
C29	-0.09	-0.00	0.00
C30	-0.09	-0.02	-0.00
C31	-0.07	-0.04	-0.01
C32	-0.09	-0.00	-0.01
D1	0.04	-0.05	0.11
D2	0.06	-0.05	0.10
D3	0.07	-0.05	0.08
D4	0.08	-0.05	0.07
D5	0.02	-0.07	0.10
D6	0.04	-0.06	0.09
D7	0.06	-0.06	0.08
D8	0.01	-0.08	0.09
D9	0.03	-0.07	0.08
D10	0.05	-0.07	0.07
D11	0.07	-0.06	0.06
D12	0.08	-0.05	0.05
D13	-0.01	-0.08	0.07
D14	0.01	-0.08	0.07
D15	0.03	-0.08	0.06
D16	0.05	-0.07	0.05
D17	0.07	-0.06	0.04
D18	0.08	-0.05	0.04
D19	-0.02	-0.08	0.06
D20	0.00	-0.08	0.06
D21	0.02	-0.08	0.05
D22	0.03	-0.08	0.04
D23	0.05	-0.07	0.03
D24	0.06	-0.07	0.02
D25	0.08	-0.06	0.02
D26	0.02	-0.07	0.03
D27	0.03	-0.07	0.02
